city,area,rooms,bathroom,parking_spaces,floor,animal,furniture,hoa,rent_amount,property_tax,fire_insurance,total
Porto Alegre,240,4,3,5,0,1,0,0,2500,120,45,2665
Porto Alegre,120,3,2,2,2,1,1,700,2975,155,44,3874
Porto Alegre,60,2,1,1,0,1,0,0,1400,96,25,1521
Porto Alegre,105,3,3,1,3,1,1,1300,2300,130,34,3764
Porto Alegre,383,5,5,4,0,1,0,0,10000,250,178,10430
Porto Alegre,57,2,2,1,6,0,0,425,1800,75,27,2327
Porto Alegre,77,2,1,0,1,0,0,0,1130,25,17,1172
Porto Alegre,75,2,2,1,3,1,0,200,1500,142,22,1864
Porto Alegre,55,2,1,1,0,1,1,0,1300,34,24,1358
Porto Alegre,42,1,1,1,11,1,0,500,2200,50,33,2783
Porto Alegre,62,2,1,1,7,0,0,485,1620,54,24,2183
Porto Alegre,80,2,1,1,1,1,0,200,1650,70,25,1945
Porto Alegre,110,2,2,1,3,1,1,600,1800,152,27,2579
Porto Alegre,40,1,1,1,7,1,1,400,1400,36,21,1857
Porto Alegre,367,3,4,4,8,0,0,7000,15000,1032,220,23250
Porto Alegre,67,2,1,0,3,1,0,330,1523,50,23,1926
Porto Alegre,78,3,2,1,4,1,0,450,2800,75,41,3366
Porto Alegre,148,2,1,2,3,1,0,385,1650,880,25,2940
Porto Alegre,136,4,3,2,3,0,0,750,4000,327,59,5136
Porto Alegre,72,2,1,0,1,1,0,80,1300,40,19,1439
Porto Alegre,230,4,1,1,3,1,0,1287,3500,370,52,5209
Porto Alegre,68,2,2,1,3,1,0,400,1800,82,27,2309
Porto Alegre,600,5,4,5,0,1,1,0,12000,1167,214,13380
Porto Alegre,290,4,4,3,0,1,0,0,2500,262,45,2807
Porto Alegre,120,3,1,0,4,1,0,1090,1500,125,22,2737
Porto Alegre,150,4,2,2,0,1,0,600,1100,0,20,1720
Porto Alegre,90,3,2,0,3,0,0,405,1105,31,17,1558
Porto Alegre,68,3,2,1,10,1,0,600,1600,76,24,2300
Porto Alegre,280,5,4,8,0,1,0,0,10000,417,178,10600
Porto Alegre,340,5,4,4,0,1,0,0,4800,300,86,5186
Porto Alegre,49,2,1,1,0,1,0,150,1220,6,22,1398
Porto Alegre,290,5,5,3,4,0,0,3500,5600,49,82,9231
Porto Alegre,78,2,1,0,2,1,0,80,1330,91,20,1521
Porto Alegre,62,2,2,1,7,0,1,800,3900,100,57,4857
Porto Alegre,18,1,1,0,16,1,0,480,700,15,11,1206
Porto Alegre,50,2,1,1,4,1,0,600,1190,42,18,1850
Porto Alegre,263,3,3,0,2,1,1,30,3500,150,52,3732
Porto Alegre,134,3,2,2,4,1,0,985,2900,242,43,4170
Porto Alegre,116,3,2,1,9,1,0,700,2600,167,38,3505
Porto Alegre,60,1,1,0,2,0,0,300,920,0,14,1234
Porto Alegre,75,2,2,2,4,1,1,400,2750,92,41,3283
Porto Alegre,60,3,2,1,3,1,0,700,1800,80,27,2607
Porto Alegre,37,1,1,0,2,1,0,220,628,13,10,871
Porto Alegre,72,2,2,2,6,1,0,400,2400,88,36,2924
Porto Alegre,70,3,1,1,13,1,0,500,1300,36,19,1855
Porto Alegre,72,2,1,0,3,1,1,620,1600,54,24,2298
Porto Alegre,360,4,4,4,0,0,0,0,2820,321,51,3192
Porto Alegre,39,1,1,1,5,0,1,350,2600,67,38,3055
Porto Alegre,60,2,1,1,0,1,0,0,540,0,10,550
Porto Alegre,80,2,1,1,3,0,0,500,1500,250,22,2272
Porto Alegre,38,1,1,0,6,0,0,670,806,92,12,1580
Porto Alegre,81,3,2,1,6,1,0,490,1630,90,24,2234
Porto Alegre,450,5,4,4,0,1,1,0,9000,250,160,9410
Porto Alegre,43,1,1,1,4,1,0,240,1870,0,28,2138
Porto Alegre,70,2,1,0,1,1,1,350,1450,120,22,1942
Porto Alegre,49,1,1,0,1,0,0,600,600,15,9,1224
Porto Alegre,88,2,2,2,1,1,0,240,1600,84,24,1948
Porto Alegre,350,3,4,4,0,0,0,0,3500,167,63,3730
Porto Alegre,80,2,2,1,4,1,0,693,1600,92,24,2409
Porto Alegre,300,3,3,5,0,1,0,0,3825,89,68,3982
Porto Alegre,89,3,1,0,3,1,0,631,1100,85,17,1833
Porto Alegre,180,6,2,2,2,1,0,0,4100,234,60,4394
Porto Alegre,71,2,2,1,3,1,0,861,1300,79,19,2259
Porto Alegre,76,2,2,1,4,1,0,700,2200,0,33,2933
Porto Alegre,42,1,1,0,3,1,1,150,1050,0,16,1216
Porto Alegre,199,3,4,3,7,1,1,900,8750,334,128,10110
Porto Alegre,71,2,2,1,4,1,0,1080,2700,100,40,3920
Porto Alegre,169,2,1,1,0,1,0,0,2800,55,50,2905
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,33,2633
Porto Alegre,117,2,1,1,4,1,0,380,2100,73,31,2584
Porto Alegre,80,3,1,1,1,1,0,350,1300,46,19,1715
Porto Alegre,90,2,2,0,3,1,0,320,1125,34,17,1496
Porto Alegre,91,2,1,0,2,1,0,316,1350,69,20,1755
Porto Alegre,59,1,1,1,12,1,0,300,2200,67,33,2600
Porto Alegre,69,2,2,2,10,1,0,670,2500,158,37,3365
Porto Alegre,52,2,1,0,2,1,0,380,1500,55,22,1957
Porto Alegre,70,2,2,2,9,1,0,535,1600,59,24,2218
Porto Alegre,42,1,1,0,10,1,0,32000,700,40,11,32750
Porto Alegre,69,2,1,0,2,1,0,240,1200,410,18,1868
Porto Alegre,53,1,1,0,2,1,0,277,500,20,8,805
Porto Alegre,62,2,1,1,6,0,0,485,1296,54,19,1854
Porto Alegre,100,2,2,0,0,1,0,0,2200,0,40,2240
Porto Alegre,75,3,2,1,3,0,1,450,1950,98,29,2527
Porto Alegre,41,1,1,1,2,1,0,540,1150,35,17,1742
Porto Alegre,71,2,1,0,2,1,0,0,1500,0,22,1522
Porto Alegre,225,3,3,2,3,1,0,1100,3800,192,56,5148
Porto Alegre,981,3,2,4,0,1,1,0,7000,4500,125,11630
Porto Alegre,80,2,2,1,2,1,0,500,1800,100,27,2427
Porto Alegre,41,1,2,1,9,1,0,400,2800,67,41,3308
Porto Alegre,32,1,1,0,0,1,1,230,750,23,11,1014
Porto Alegre,47,1,1,0,3,1,0,250,900,38,14,1202
Porto Alegre,35,1,1,0,3,1,1,200,880,15,13,1108
Porto Alegre,140,3,2,2,3,1,0,686,3000,250,44,3980
Porto Alegre,38,1,1,0,4,1,1,190,1800,20,27,2037
Porto Alegre,180,2,2,1,4,1,0,170,2001,25,30,2226
Porto Alegre,65,2,2,0,5,0,0,485,1390,87,21,1983
Porto Alegre,240,4,4,2,0,1,0,0,5000,630,89,5719
Porto Alegre,42,1,1,0,6,0,0,320,850,21,13,1204
Porto Alegre,102,3,2,5,0,1,0,0,2975,103,53,3131
Porto Alegre,50,2,1,1,0,1,0,0,1000,25,18,1043
Porto Alegre,240,3,2,4,0,1,0,0,5500,500,98,6098
Porto Alegre,35,2,1,0,1,0,1,0,1350,0,20,1370
Porto Alegre,60,2,1,0,2,1,0,300,950,0,14,1264
Porto Alegre,30,1,1,0,5,1,0,400,940,35,14,1389
Porto Alegre,220,3,3,4,0,1,0,0,2500,2360,45,4905
Porto Alegre,260,2,2,1,3,1,0,170,2000,25,30,2225
Porto Alegre,48,2,1,0,4,1,0,468,800,28,12,1308
Porto Alegre,75,2,2,1,6,1,0,383,1400,117,21,1921
Porto Alegre,93,2,2,3,6,1,1,873,3900,224,57,5054
Porto Alegre,63,2,2,0,7,0,1,400,2600,109,38,3147
Porto Alegre,109,3,2,1,2,1,1,681,2423,193,36,3333
Porto Alegre,80,2,2,0,8,1,0,430,1320,121,20,1891
Porto Alegre,117,3,2,2,10,1,0,1564,5500,167,81,7312
Porto Alegre,112,3,2,2,3,1,1,800,4100,100,60,5060
Porto Alegre,68,2,1,0,3,1,0,270,700,19,11,1000
Porto Alegre,102,3,2,2,8,1,1,1125,5525,225,81,6956
Porto Alegre,450,6,2,8,0,1,0,0,4000,197,72,4269
Porto Alegre,28,1,1,0,4,1,0,350,550,21,9,930
Porto Alegre,62,3,2,1,1,0,0,485,1629,54,24,2192
Porto Alegre,50,1,1,1,7,1,0,250,800,0,12,1062
Porto Alegre,50,1,1,0,6,1,0,400,800,20,12,1232
Porto Alegre,62,2,2,1,10,1,0,480,1600,9,24,2113
Porto Alegre,66,2,2,0,3,1,0,550,1200,50,18,1818
Porto Alegre,38,1,1,1,5,1,0,342,980,51,15,1388
Porto Alegre,540,6,8,3,0,1,0,0,15000,467,267,15730
Porto Alegre,65,3,2,0,5,0,0,450,1690,86,25,2251
Porto Alegre,40,1,1,0,4,1,0,450,900,38,14,1402
Porto Alegre,81,2,1,0,2,1,0,350,1150,5,17,1522
Porto Alegre,62,2,2,0,2,1,0,400,1556,100,23,2079
Porto Alegre,50,2,1,1,3,1,0,180,946,0,14,1140
Porto Alegre,45,1,1,1,1,0,0,30,760,0,12,802
Porto Alegre,90,2,2,1,18,0,0,500,2500,84,37,3121
Porto Alegre,24,1,1,1,0,0,0,0,550,0,9,559
Porto Alegre,38,1,1,1,9,1,0,350,2900,42,43,3335
Porto Alegre,28,1,1,0,1,1,1,0,1340,4,20,1364
Porto Alegre,82,2,2,1,5,1,0,450,1700,67,25,2242
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,33,2633
Porto Alegre,68,2,2,1,1,1,0,400,1800,82,27,2309
Porto Alegre,50,2,1,1,2,1,0,100,1460,0,22,1582
Porto Alegre,40,2,1,1,3,1,0,300,820,32,12,1164
Porto Alegre,75,3,1,1,1,1,0,360,1100,47,17,1524
Porto Alegre,60,1,2,2,15,1,0,500,2800,17,41,3358
Porto Alegre,49,1,1,0,7,1,0,310,680,21,10,1021
Porto Alegre,61,1,1,0,0,1,0,80,1100,160,17,1357
Porto Alegre,70,2,1,0,0,1,1,270,1800,23,27,2120
Porto Alegre,37,1,1,0,3,1,0,270,650,23,10,953
Porto Alegre,225,1,2,0,0,1,0,0,3500,218,63,3781
Porto Alegre,135,3,3,4,5,1,0,200,4000,0,59,4259
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,33,2633
Porto Alegre,25,1,1,0,0,0,0,0,550,0,9,559
Porto Alegre,100,3,2,2,2,1,0,650,2499,92,37,3278
Porto Alegre,109,1,2,2,3,1,1,496,4300,87,63,4946
Porto Alegre,92,2,2,1,2,1,1,645,2100,2610,31,5386
Porto Alegre,450,5,3,6,0,1,0,0,4760,94,85,4939
Porto Alegre,140,3,3,0,2,1,0,750,1700,125,25,2600
Porto Alegre,200,3,3,4,2,1,0,2900,1200,260,18,4378
Porto Alegre,108,3,2,1,3,1,1,826,2000,89,30,2945
Porto Alegre,45,1,1,1,3,1,0,250,1205,72,18,1545
Porto Alegre,110,3,3,0,1,1,0,400,3250,75,48,3773
Porto Alegre,64,2,2,2,6,1,0,450,2250,50,33,2783
Porto Alegre,128,4,3,2,3,1,0,1160,4900,409,88,6557
Porto Alegre,80,2,2,1,5,1,1,740,1900,120,28,2788
Porto Alegre,60,2,1,0,1,1,0,114,980,42,15,1151
Porto Alegre,65,1,1,1,3,1,0,426,980,38,15,1459
Porto Alegre,98,3,2,2,4,0,0,700,2550,100,38,3388
Porto Alegre,48,2,1,1,2,1,0,300,800,35,12,1147
Porto Alegre,40,1,1,0,3,1,1,370,1084,46,16,1516
Porto Alegre,59,2,1,0,3,1,0,326,1000,42,15,1383
Porto Alegre,48,1,1,0,4,1,0,340,700,300,11,1351
Porto Alegre,60,1,1,0,1,1,0,230,1286,70,19,1605
Porto Alegre,50,2,1,0,0,1,0,100,700,100,11,911
Porto Alegre,61,1,1,1,13,1,1,1237,3800,104,56,5197
Porto Alegre,360,5,3,3,0,1,0,0,3500,0,63,3563
Porto Alegre,440,3,2,3,6,0,0,100,10500,84,154,10840
Porto Alegre,59,2,1,1,2,1,0,382,900,62,14,1358
Porto Alegre,60,2,1,1,1,1,1,400,1300,25,19,1744
Porto Alegre,50,1,1,0,1,1,0,200,1045,30,16,1291
Porto Alegre,53,1,1,0,2,1,1,240,1480,42,22,1784
Porto Alegre,45,1,1,0,6,1,0,350,650,28,10,1038
Porto Alegre,145,3,4,0,2,1,1,250,2950,75,44,3319
Porto Alegre,68,2,1,1,6,0,1,480,1900,78,28,2486
Porto Alegre,85,2,2,0,7,1,1,660,2520,113,37,3330
Porto Alegre,55,1,1,1,3,1,1,550,1910,110,28,2598
Porto Alegre,75,2,1,2,2,1,0,380,1200,55,18,1653
Porto Alegre,563,3,6,4,12,1,0,5200,15000,1250,220,21670
Porto Alegre,54,2,1,0,13,1,1,460,1200,41,18,1719
Porto Alegre,318,4,3,0,0,1,0,0,19000,384,338,19720
Porto Alegre,41,1,2,1,6,1,0,400,2400,67,36,2903
Porto Alegre,270,4,4,2,0,1,0,0,7000,200,125,7325
Porto Alegre,55,2,1,0,1,0,0,185,1500,27,22,1734
Porto Alegre,87,2,2,1,2,1,0,580,1970,117,29,2696
Porto Alegre,48,1,1,1,8,1,1,1580,1288,0,19,2887
Porto Alegre,105,3,3,0,3,1,0,840,2125,111,32,3108
Porto Alegre,55,2,1,1,2,1,0,300,850,30,13,1193
Porto Alegre,68,2,2,1,2,1,0,400,1800,82,27,2309
Porto Alegre,109,3,1,1,5,1,0,500,1400,42,21,1963
Porto Alegre,118,3,2,1,3,1,0,300,1800,50,27,2177
Porto Alegre,47,1,1,0,20,1,0,280,755,27,12,1074
Porto Alegre,400,3,4,5,0,1,1,0,8500,309,152,8961
Porto Alegre,65,2,1,0,1,1,0,355,1030,24,16,1425
Porto Alegre,95,3,2,2,2,1,0,350,2500,71,37,2958
Porto Alegre,58,2,1,1,4,1,0,350,1000,47,15,1412
Porto Alegre,280,3,5,2,3,1,1,729,5280,500,78,6587
Porto Alegre,98,2,2,0,2,1,0,310,1100,38,17,1465
Porto Alegre,170,2,3,2,0,1,0,0,6500,292,116,6908
Porto Alegre,42,1,1,0,5,0,1,290,2200,66,33,2589
Porto Alegre,84,3,1,0,3,1,1,70,1460,44,22,1596
Porto Alegre,65,2,1,1,3,0,1,400,1750,100,26,2276
Porto Alegre,87,2,1,0,2,1,0,300,1300,64,19,1683
Porto Alegre,91,3,2,2,3,1,0,400,3390,150,50,3990
Porto Alegre,102,2,2,1,11,1,1,1900,3000,259,44,5203
Porto Alegre,66,3,2,1,11,1,0,400,1500,40,22,1962
Porto Alegre,120,3,3,3,7,1,0,800,5000,0,74,5874
Porto Alegre,58,2,1,1,0,1,0,170,800,24,12,1006
Porto Alegre,60,1,1,0,2,0,1,100,1170,0,18,1288
Porto Alegre,42,1,1,1,2,1,0,280,900,19,14,1213
Porto Alegre,41,1,1,0,5,1,1,300,1090,84,16,1490
Porto Alegre,222,4,3,2,13,1,0,2300,4000,200,59,6559
Porto Alegre,122,3,3,2,2,1,0,600,2500,149,37,3286
Porto Alegre,55,2,1,1,2,1,0,300,1319,75,20,1714
Porto Alegre,30,2,2,1,1,1,0,250,1275,50,19,1594
Porto Alegre,100,3,2,1,6,1,0,1374,1800,211,27,3412
Porto Alegre,78,2,2,1,4,1,0,700,2300,105,34,3139
Porto Alegre,41,1,2,1,9,1,0,400,2800,67,41,3308
Porto Alegre,62,2,1,0,8,1,0,504,1100,32,17,1653
Porto Alegre,160,3,2,1,5,1,0,1200,2500,170,37,3907
Porto Alegre,98,2,2,1,2,1,0,465,1300,54,19,1838
Porto Alegre,85,3,3,0,0,0,0,550,2500,72,45,3167
Porto Alegre,121,3,2,1,10,1,0,800,1900,200,28,2928
Porto Alegre,119,3,1,0,3,1,0,560,2100,84,31,2775
Porto Alegre,110,3,2,0,3,0,1,370,2070,100,31,2571
Porto Alegre,132,3,2,2,9,1,1,1000,3350,167,49,4566
Porto Alegre,50,2,1,1,2,1,0,100,1540,0,23,1663
Porto Alegre,425,4,4,0,0,1,0,0,15000,750,267,16020
Porto Alegre,70,2,1,1,3,1,1,450,1800,63,27,2340
Porto Alegre,64,2,1,1,4,1,0,600,980,34,15,1629
Porto Alegre,85,2,3,1,4,1,0,350,3000,125,44,3519
Porto Alegre,359,3,4,2,3,1,0,2300,7000,292,103,9695
Porto Alegre,89,2,1,0,4,0,0,340,1190,0,18,1548
Porto Alegre,140,3,1,1,11,1,1,1000,4445,166,65,5676
Porto Alegre,148,3,2,2,3,1,1,2200,3990,167,59,6416
Porto Alegre,78,2,2,0,7,1,0,450,1500,167,22,2139
Porto Alegre,39,1,1,1,12,1,0,500,2200,50,33,2783
Porto Alegre,45,2,2,0,0,0,0,0,1300,0,24,1324
Porto Alegre,40,1,1,0,2,1,1,180,1250,6,19,1455
Porto Alegre,45,1,1,0,11,1,0,750,900,658,14,2322
Porto Alegre,75,2,2,2,6,1,0,556,2200,95,33,2884
Porto Alegre,281,4,3,4,0,1,1,0,4950,442,88,5480
Porto Alegre,70,2,2,1,2,1,0,400,2200,92,33,2725
Porto Alegre,58,1,1,1,2,1,0,273,1200,27,18,1518
Porto Alegre,39,1,1,1,1,0,1,185,900,27,14,1126
Porto Alegre,100,3,1,0,3,1,1,250,1870,59,28,2207
Porto Alegre,60,2,1,0,3,1,0,170,1090,25,16,1301
Porto Alegre,79,2,1,0,10,1,0,400,1880,67,28,2375
Porto Alegre,45,1,1,2,5,1,0,800,2300,9,34,3143
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,33,2633
Porto Alegre,30,1,1,0,1,1,1,230,850,18,13,1111
Porto Alegre,80,3,1,1,8,1,0,400,1700,125,25,2250
Porto Alegre,75,2,2,0,5,1,0,400,2500,140,37,3077
Porto Alegre,40,1,1,0,5,1,0,400,950,100,14,1464
Porto Alegre,90,2,1,0,2,1,0,200,950,26,14,1190
Porto Alegre,47,1,1,0,0,0,0,200,1100,0,17,1317
Porto Alegre,143,3,2,3,9,1,1,1950,6000,698,88,8736
Porto Alegre,76,2,2,0,2,1,0,190,2100,49,38,2377
Porto Alegre,75,2,2,2,4,1,0,550,1600,122,24,2296
Porto Alegre,50,1,1,1,3,0,0,370,1200,50,18,1638
Porto Alegre,70,2,1,0,3,0,1,300,1800,0,27,2127
Porto Alegre,90,3,1,1,6,1,0,380,1750,90,26,2246
Porto Alegre,58,2,1,1,4,1,0,220,1320,67,20,1627
Porto Alegre,40,1,1,0,3,0,1,0,2000,0,30,2030
Porto Alegre,60,2,1,1,7,1,0,320,1900,50,28,2298
Porto Alegre,84,2,1,0,3,1,0,500,900,73,14,1487
Porto Alegre,130,2,1,2,0,1,0,0,2000,109,36,2145
Porto Alegre,80,2,1,0,1,1,0,0,950,65,14,1029
Porto Alegre,78,2,1,0,3,1,0,280,1380,32,21,1713
Porto Alegre,47,1,1,1,1,0,1,400,2200,0,33,2633
Porto Alegre,180,4,5,3,9,1,1,2500,10500,410,154,13560
Porto Alegre,44,1,1,1,9,1,0,280,1170,31,18,1499
Porto Alegre,45,1,1,1,1,1,0,240,740,7,11,998
Porto Alegre,55,2,1,0,3,1,0,350,650,42,10,1052
Porto Alegre,220,4,5,2,0,1,0,0,7000,225,125,7350
Porto Alegre,52,1,1,0,0,1,0,90,748,1,11,850
Porto Alegre,84,2,2,2,6,1,0,657,3200,189,47,4093
Porto Alegre,260,2,2,1,3,0,0,350,1640,0,24,2014
Porto Alegre,82,3,2,1,6,1,0,700,2500,59,37,3296
Porto Alegre,105,3,2,2,1,1,0,600,2390,134,35,3159
Porto Alegre,182,3,3,2,0,1,0,0,3200,112,57,3369
Porto Alegre,30,1,1,1,0,1,0,0,762,15,14,791
Porto Alegre,75,2,2,0,9,0,0,436,1350,50,20,1856
Porto Alegre,120,2,2,1,8,1,0,850,1700,134,25,2709
Porto Alegre,62,2,2,2,3,1,0,540,1600,9,24,2173
Porto Alegre,88,3,2,0,2,1,0,520,1658,31,25,2234
Porto Alegre,470,3,3,4,0,1,1,0,3700,346,66,4112
Porto Alegre,45,1,1,0,4,1,1,200,1700,55,25,1980
Porto Alegre,50,1,1,0,0,1,1,0,1100,13,20,1133
Porto Alegre,52,2,1,1,5,1,0,400,1100,42,17,1559
Porto Alegre,162,3,1,0,1,1,0,440,1300,67,19,1826
Porto Alegre,62,2,1,1,7,0,0,485,1377,54,21,1937
Porto Alegre,35,1,1,0,2,1,1,350,1500,50,22,1922
Porto Alegre,46,1,1,1,3,1,0,280,1099,55,17,1451
Porto Alegre,55,2,1,0,4,1,0,390,1500,42,22,1954
Porto Alegre,400,3,4,4,0,1,1,3000,12000,1100,214,16310
Porto Alegre,64,2,2,0,7,0,0,550,1350,52,20,1972
Porto Alegre,140,3,4,2,12,1,0,1990,3490,292,51,5823
Porto Alegre,80,2,1,1,1,1,0,0,833,4,13,850
Porto Alegre,187,3,3,2,0,1,1,0,2805,98,50,2953
Porto Alegre,83,2,2,1,5,1,0,450,1400,67,21,1938
Porto Alegre,38,1,1,0,3,1,0,300,1300,53,19,1672
Porto Alegre,60,2,2,1,6,1,0,606,1080,88,16,1790
Porto Alegre,60,2,1,0,3,1,0,290,770,45,12,1117
Porto Alegre,50,2,1,1,0,1,0,0,1000,25,18,1043
Porto Alegre,84,1,2,0,0,1,1,300,2200,0,33,2533
Porto Alegre,120,2,2,1,3,1,1,360,2525,75,37,2997
Porto Alegre,73,2,2,1,6,1,1,450,2450,94,36,3030
Porto Alegre,67,3,2,1,1,1,0,406,1399,56,21,1882
Porto Alegre,170,2,3,1,0,1,0,0,1300,50,24,1374
Porto Alegre,110,1,2,1,4,1,0,540,2040,179,30,2789
Porto Alegre,88,2,1,0,1,1,1,270,1300,27,19,1616
Porto Alegre,27,1,1,0,6,0,0,300,694,13,11,1018
Porto Alegre,71,3,2,1,4,1,0,530,1300,48,19,1897
Porto Alegre,48,1,1,0,0,1,0,250,900,542,14,1706
Porto Alegre,429,5,4,5,0,1,0,0,10500,334,187,11020
Porto Alegre,143,2,1,2,7,1,1,900,2500,184,37,3621
Porto Alegre,70,1,1,0,3,0,0,150,850,46,13,1059
Porto Alegre,60,1,1,1,2,0,0,345,1290,35,19,1689
Porto Alegre,51,2,1,1,3,1,0,270,1080,25,16,1391
Porto Alegre,50,1,1,0,1,1,0,287,1100,46,17,1450
Porto Alegre,58,2,1,0,1,1,1,0,1300,0,19,1319
Porto Alegre,80,2,1,1,8,1,0,755,4000,212,59,5026
Porto Alegre,56,2,2,1,3,1,0,250,1600,84,24,1958
Porto Alegre,60,1,1,1,1,1,0,316,500,10,8,834
Porto Alegre,106,3,2,2,2,0,1,300,4000,100,59,4459
Porto Alegre,40,1,1,0,9,1,0,500,850,42,13,1405
Porto Alegre,60,2,1,0,4,1,0,340,730,20,11,1101
Porto Alegre,40,1,1,0,3,1,1,350,750,42,11,1153
